location,date,total_cases,total_deaths,new_deaths
Spain,2019-12-31,0.0,0.0,0.0
Spain,2020-01-01,0.0,0.0,0.0
Spain,2020-01-02,0.0,0.0,0.0
Spain,2020-01-03,0.0,0.0,0.0
Spain,2020-01-04,0.0,0.0,0.0
Spain,2020-01-05,0.0,0.0,0.0
Spain,2020-01-06,0.0,0.0,0.0
Spain,2020-01-07,0.0,0.0,0.0
Spain,2020-01-08,0.0,0.0,0.0
Spain,2020-01-09,0.0,0.0,0.0
Spain,2020-01-10,0.0,0.0,0.0
Spain,2020-01-11,0.0,0.0,0.0
Spain,2020-01-12,0.0,0.0,0.0
Spain,2020-01-13,0.0,0.0,0.0
Spain,2020-01-14,0.0,0.0,0.0
Spain,2020-01-15,0.0,0.0,0.0
Spain,2020-01-16,0.0,0.0,0.0
Spain,2020-01-17,0.0,0.0,0.0
Spain,2020-01-18,0.0,0.0,0.0
Spain,2020-01-19,0.0,0.0,0.0
Spain,2020-01-20,0.0,0.0,0.0
Spain,2020-01-21,0.0,0.0,0.0
Spain,2020-01-22,0.0,0.0,0.0
Spain,2020-01-23,0.0,0.0,0.0
Spain,2020-01-24,0.0,0.0,0.0
Spain,2020-01-25,0.0,0.0,0.0
Spain,2020-01-26,0.0,0.0,0.0
Spain,2020-01-27,0.0,0.0,0.0
Spain,2020-01-28,0.0,0.0,0.0
Spain,2020-01-29,0.0,0.0,0.0
Spain,2020-01-30,0.0,0.0,0.0
Spain,2020-01-31,0.0,0.0,0.0
Spain,2020-02-01,1.0,0.0,0.0
Spain,2020-02-02,1.0,0.0,0.0
Spain,2020-02-03,1.0,0.0,0.0
Spain,2020-02-04,1.0,0.0,0.0
Spain,2020-02-05,1.0,0.0,0.0
Spain,2020-02-06,1.0,0.0,0.0
Spain,2020-02-07,1.0,0.0,0.0
Spain,2020-02-08,1.0,0.0,0.0
Spain,2020-02-09,1.0,0.0,0.0
Spain,2020-02-10,2.0,0.0,0.0
Spain,2020-02-11,2.0,0.0,0.0
Spain,2020-02-12,2.0,0.0,0.0
Spain,2020-02-13,2.0,0.0,0.0
Spain,2020-02-14,2.0,0.0,0.0
Spain,2020-02-15,2.0,0.0,0.0
Spain,2020-02-16,2.0,0.0,0.0
Spain,2020-02-17,2.0,0.0,0.0
Spain,2020-02-18,2.0,0.0,0.0
Spain,2020-02-19,2.0,0.0,0.0
Spain,2020-02-20,2.0,0.0,0.0
Spain,2020-02-21,2.0,0.0,0.0
Spain,2020-02-22,2.0,0.0,0.0
Spain,2020-02-23,2.0,0.0,0.0
Spain,2020-02-24,2.0,0.0,0.0
Spain,2020-02-25,3.0,0.0,0.0
Spain,2020-02-26,9.0,0.0,0.0
Spain,2020-02-27,17.0,0.0,0.0
Spain,2020-02-28,35.0,0.0,0.0
Spain,2020-02-29,54.0,0.0,0.0
Spain,2020-03-01,82.0,0.0,0.0
Spain,2020-03-02,136.0,0.0,0.0
Spain,2020-03-03,192.0,0.0,0.0
Spain,2020-03-04,267.0,0.0,0.0
Spain,2020-03-05,348.0,1.0,1.0
Spain,2020-03-06,531.0,3.0,2.0
Spain,2020-03-07,764.0,5.0,2.0
Spain,2020-03-08,1094.0,5.0,0.0
Spain,2020-03-09,1527.0,5.0,0.0
Spain,2020-03-10,2299.0,28.0,23.0
Spain,2020-03-11,3274.0,35.0,7.0
Spain,2020-03-12,4427.0,47.0,12.0
Spain,2020-03-13,5958.0,84.0,37.0
Spain,2020-03-14,7641.0,121.0,37.0
Spain,2020-03-15,9785.0,136.0,15.0
Spain,2020-03-16,11491.0,288.0,152.0
Spain,2020-03-17,13994.0,309.0,21.0
Spain,2020-03-18,17688.0,491.0,182.0
Spain,2020-03-19,21735.0,598.0,107.0
Spain,2020-03-20,26304.0,767.0,169.0
Spain,2020-03-21,31750.0,1002.0,235.0
Spain,2020-03-22,36616.0,1326.0,324.0
Spain,2020-03-23,41262.0,1720.0,394.0
Spain,2020-03-24,48953.0,2182.0,462.0
Spain,2020-03-25,57506.0,2696.0,514.0
Spain,2020-03-26,66460.0,3434.0,738.0
Spain,2020-03-27,75641.0,4089.0,655.0
Spain,2020-03-28,83885.0,4858.0,769.0
Spain,2020-03-29,90309.0,5690.0,832.0
Spain,2020-03-30,96122.0,6528.0,838.0
Spain,2020-03-31,104267.0,7340.0,812.0
Spain,2020-04-01,111680.0,8189.0,849.0
Spain,2020-04-02,119263.0,9053.0,864.0
Spain,2020-04-03,126535.0,10003.0,950.0
Spain,2020-04-04,133198.0,10935.0,932.0
Spain,2020-04-05,138731.0,11744.0,809.0
Spain,2020-04-06,142398.0,12418.0,674.0
Spain,2020-04-07,147607.0,13055.0,637.0
Spain,2020-04-08,153190.0,13798.0,743.0
Spain,2020-04-09,158935.0,14555.0,757.0
Spain,2020-04-10,163472.0,15238.0,683.0
Spain,2020-04-11,168022.0,15843.0,605.0
Spain,2020-04-12,171921.0,16353.0,510.0
Spain,2020-04-13,174951.0,16972.0,619.0
Spain,2020-04-14,178067.0,17489.0,517.0
Spain,2020-04-15,182491.0,18276.0,787.0
Spain,2020-04-16,186311.0,18893.0,617.0
Spain,2020-04-17,190129.0,19478.0,585.0
Spain,2020-04-18,193965.0,20043.0,565.0
Spain,2020-04-19,193252.0,20453.0,410.0
Spain,2020-04-20,195470.0,20852.0,399.0
Spain,2020-04-21,198421.0,21282.0,430.0
Spain,2020-04-22,200733.0,21717.0,435.0
Spain,2020-04-23,203649.0,22157.0,440.0
Spain,2020-04-24,205763.0,22524.0,367.0
Spain,2020-04-25,208269.0,22902.0,378.0
Spain,2020-04-26,209910.0,23190.0,288.0
Spain,2020-04-27,211570.0,23190.0,0.0
Spain,2020-04-28,213095.0,23822.0,632.0
Spain,2020-04-29,213942.0,24275.0,453.0
Spain,2020-04-30,215183.0,24543.0,268.0
Spain,2020-05-01,216570.0,24824.0,281.0
Spain,2020-05-02,217804.0,25100.0,276.0
Spain,2020-05-03,218739.0,25264.0,164.0
Spain,2020-05-04,219205.0,25428.0,164.0
Spain,2020-05-05,220244.0,25613.0,185.0
Spain,2020-05-06,221124.0,25857.0,244.0
Spain,2020-05-07,222045.0,26070.0,213.0
Spain,2020-05-08,223218.0,26251.0,181.0
Spain,2020-05-09,223961.0,26478.0,227.0
Spain,2020-05-10,227377.0,26621.0,143.0
Spain,2020-05-11,227770.0,26744.0,123.0
Spain,2020-05-12,228252.0,26920.0,176.0
Spain,2020-05-13,228691.0,27104.0,184.0
Spain,2020-05-14,229540.0,27321.0,217.0
Spain,2020-05-15,230183.0,27459.0,138.0
Spain,2020-05-16,230698.0,27563.0,104.0
Spain,2020-05-17,231350.0,27650.0,87.0
Spain,2020-05-18,231606.0,27709.0,59.0
Spain,2020-05-19,232037.0,27778.0,69.0
Spain,2020-05-20,232555.0,27888.0,110.0
Spain,2020-05-21,233037.0,27940.0,52.0
Spain,2020-05-22,234824.0,28628.0,688.0
Spain,2020-05-23,235290.0,28678.0,50.0
Spain,2020-05-24,235772.0,28752.0,74.0
Spain,2020-05-25,235400.0,26834.0,-1918.0
Spain,2020-05-26,236259.0,27117.0,283.0
Spain,2020-05-27,236769.0,27118.0,1.0
Spain,2020-05-28,237906.0,27119.0,1.0
Spain,2020-05-29,238564.0,27121.0,2.0
Spain,2020-05-30,239228.0,27125.0,4.0
Spain,2020-05-31,239429.0,27127.0,2.0
Spain,2020-06-01,239638.0,27127.0,0.0
Spain,2020-06-02,239932.0,27127.0,0.0
Spain,2020-06-03,240326.0,27128.0,1.0
Spain,2020-06-04,240660.0,27133.0,5.0
Spain,2020-06-05,240978.0,27134.0,1.0
Spain,2020-06-06,241310.0,27135.0,1.0
Spain,2020-06-07,241550.0,27136.0,1.0
Spain,2020-06-08,241717.0,27136.0,0.0
Spain,2020-06-09,241966.0,27136.0,0.0
Spain,2020-06-10,242280.0,27136.0,0.0
Spain,2020-06-11,242707.0,27136.0,0.0
Spain,2020-06-12,243209.0,27136.0,0.0
Spain,2020-06-13,243605.0,27136.0,0.0
Spain,2020-06-14,243928.0,27136.0,0.0
Spain,2020-06-15,244109.0,27136.0,0.0
Spain,2020-06-16,244328.0,27136.0,0.0
Spain,2020-06-17,244683.0,27136.0,0.0
Spain,2020-06-18,245268.0,27136.0,0.0
Spain,2020-06-19,245575.0,28315.0,1179.0
Spain,2020-06-20,245938.0,28322.0,7.0
Spain,2020-06-21,246272.0,28323.0,1.0
Spain,2020-06-22,246504.0,28324.0,1.0
Spain,2020-06-23,246752.0,28325.0,1.0
Spain,2020-06-24,247086.0,28327.0,2.0
Spain,2020-06-25,247486.0,28330.0,3.0
Spain,2020-06-26,247905.0,28338.0,8.0
Spain,2020-06-27,248469.0,28341.0,3.0
Spain,2020-06-28,248770.0,28343.0,2.0
Spain,2020-06-29,248970.0,28346.0,3.0
Spain,2020-06-30,249271.0,28355.0,9.0
Spain,2020-07-01,249659.0,28363.0,8.0
Spain,2020-07-02,250103.0,28368.0,5.0
Spain,2020-07-03,250545.0,28385.0,17.0
Spain,2020-07-04,250545.0,28385.0,0.0
Spain,2020-07-05,250545.0,28385.0,0.0
Spain,2020-07-06,251789.0,28388.0,3.0
Spain,2020-07-07,252130.0,28392.0,4.0
Spain,2020-07-08,252513.0,28396.0,4.0
Spain,2020-07-09,253056.0,28401.0,5.0
Spain,2020-07-10,253908.0,28403.0,2.0
Spain,2020-07-11,253908.0,28403.0,0.0
Spain,2020-07-12,253908.0,28403.0,0.0
Spain,2020-07-13,255953.0,28406.0,3.0
Spain,2020-07-14,256619.0,28409.0,3.0
Spain,2020-07-15,257494.0,28413.0,4.0
Spain,2020-07-16,258855.0,28416.0,3.0
Spain,2020-07-17,260255.0,28420.0,4.0
Spain,2020-07-18,260255.0,28420.0,0.0
Spain,2020-07-19,260255.0,28420.0,0.0
Spain,2020-07-20,264836.0,28422.0,2.0
Spain,2020-07-21,266194.0,28424.0,2.0
Spain,2020-07-22,267551.0,28426.0,2.0
Spain,2020-07-23,270166.0,28429.0,3.0
Spain,2020-07-24,272421.0,28432.0,3.0
Spain,2020-07-25,272421.0,28432.0,0.0
Spain,2020-07-26,272421.0,28432.0,0.0
Spain,2020-07-27,278782.0,28434.0,2.0
Spain,2020-07-28,280610.0,28436.0,2.0
Spain,2020-07-29,282641.0,28441.0,5.0
Spain,2020-07-30,285430.0,28443.0,2.0
Spain,2020-07-31,288522.0,28445.0,2.0
Spain,2020-08-01,288522.0,28445.0,0.0
Spain,2020-08-02,288522.0,28445.0,0.0
Spain,2020-08-03,297054.0,28472.0,27.0
Spain,2020-08-04,302814.0,28498.0,26.0
Spain,2020-08-05,305767.0,28499.0,1.0
Spain,2020-08-06,309855.0,28500.0,1.0
Spain,2020-08-07,314362.0,28503.0,3.0
Spain,2020-08-08,314362.0,28503.0,0.0
Spain,2020-08-09,314362.0,28503.0,0.0
Spain,2020-08-10,322980.0,28576.0,73.0
Spain,2020-08-11,326612.0,28581.0,5.0
Spain,2020-08-12,329784.0,28579.0,-2.0
Spain,2020-08-13,337334.0,28605.0,26.0
Spain,2020-08-14,342813.0,28617.0,12.0
Spain,2020-08-15,342813.0,28617.0,0.0
Spain,2020-08-16,342813.0,28617.0,0.0
Spain,2020-08-17,359082.0,28646.0,29.0
Spain,2020-08-18,364196.0,28670.0,24.0
Spain,2020-08-19,370867.0,28797.0,127.0
Spain,2020-08-20,377906.0,28813.0,16.0
Spain,2020-08-21,386054.0,28838.0,25.0
Spain,2020-08-22,386054.0,28838.0,0.0
